column00,call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude,year,totalIncidentsPerType,totalIncidentsperneigh
66,F130088128,131,Passenger vehicle fire,"200 BLOCK SEBRING AVE, PITTSBURGH PA 15216",12/10/13 14:43,0,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41247935,-80.01410037,2013,119,11
67,F130088208,138,Off-road vehicle or heavy equipment fire,"FRANKSTOWN AVE & BENNETT ST, PITTSBURGH PA 15208",12/11/13 4:37,0,231EN17,1301,Homewood West,9,12,42003120700,2,12,5,17-Mar,40.45808634,-79.90458639,2013,3,7
70,F130088628,151,"Outside rubbish, trash or waste fire","6100 BLOCK PENN AVE, PITTSBURGH PA 15208",12/12/13 15:55,0,231EN18,1115,East Liberty,9,8,42003111500,2,8,5,8-Mar,40.46070679,-79.92378078,2013,86,35
71,F170043767,131,Passenger vehicle fire,"5100 BLOCK LADORA WAY, PITTSBURGH PA 15207",6/1/17 5:01,0,231EN13,1501,Hazelwood,5,15,42003562900,3,15,4,13-Feb,40.40639442,-79.94715988,2017,108,27
72,F180023689,150,"Outside rubbish fire, Other","200 BLOCK BLACKSTONE ST, PITTSBURGH PA 15207",3/19/18 11:25,0,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,12-Feb,40.41635373,-79.93407931,2018,19,16
73,F180023822,118,"Trash or rubbish fire, contained","2400 BLOCK PIONEER AVE, PITTSBURGH PA 15226",3/19/18 19:51,1,231EN26,1919,Brookline,4,19,42003191900,4,19,6,26-Apr,40.39922987,-80.02138284,2018,26,8
74,F180023835,118,"Trash or rubbish fire, contained","300 BLOCK HAMERSCHLAG DR, PITTSBURGH PA 15217",3/19/18 20:50,1,231EN18,1401,Squirrel Hill North,8,14,42003140100,3,14,4,8-Feb,40.44293236,-79.94555263,2018,26,12
75,F180024328,162,Outside equipment fire,"00 BLOCK DAPPER WAY, PITTSBURGH PA 15206",3/21/18 15:11,0,231EN08,807,Friendship,7,8,42003080700,2,8,5,11-Mar,40.45763947,-79.93439319,2018,7,5
76,F180024648,113,"Cooking fire, confined to container","200 BLOCK LOTHROP ST, PITTSBURGH PA 15213",3/22/18 17:23,1,231EN10,402,West Oakland,8,4,42003040200,3,4,4,14-Feb,40.44173012,-79.96109344,2018,129,5
77,F180024712,151,"Outside rubbish, trash or waste fire","800 BLOCK E CARSON ST, PITTSBURGH PA 15203",3/23/18 0:01,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,2-Apr,40.42765454,-79.99075428,2018,41,24
78,F180024719,113,"Cooking fire, confined to container","200 BLOCK ELMORE ST, PITTSBURGH PA 15219",3/23/18 1:19,1,231EN04,511,Terrace Village,6,5,42003051100,3,5,2,1-Feb,40.44181467,-79.97534609,2018,129,4
79,F180024731,111,Building fire,"100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",3/23/18 4:49,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508,2018,135,16
80,F180024767,100,"Fire, Other","3200 BLOCK PARKVIEW AVE, PITTSBURGH PA 15213",3/23/18 7:57,1,231EN04,409,South Oakland,3,4,42003040900,3,4,4,11-Feb,40.42941716,-79.95371155,2018,11,7
82,F180024839,116,"Fuel burner/boiler malfunction, fire confined","3300 BLOCK SAVOY ST, PITTSBURGH PA 15212",3/23/18 12:06,1,231EN35,2703,Brighton Heights,1,27,42003270300,1,27,1,14-Jan,40.47544564,-80.03704566,2018,6,9
83,F180024881,111,Building fire,"700 BLOCK SINGER PL, PITTSBURGH PA 15208",3/23/18 15:06,1,231EN17,1306,East Hills,9,13,42003130600,2,13,5,17-Mar,40.45304756,-79.88384977,2018,135,9
84,F180025092,113,"Cooking fire, confined to container","1400 BLOCK CLAIM ST, PITTSBURGH PA 15212",3/24/18 13:43,1,231EN32,2406,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.46315035,-79.98303375,2018,129,2
85,F180025163,152,Garbage dump or sanitary landfill fire,"3600 BLOCK WINDGAP AVE, PITTSBURGH PA 15205",3/24/18 18:42,0,231EN31,2808,Windgap,2,28,42003563000,5,28,6,16-Jan,40.45355682,-80.07770269,2018,1,4
86,F180025177,113,"Cooking fire, confined to container","300 BLOCK JOHNSTON AVE, PITTSBURGH PA 15207",3/24/18 20:06,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40639491,-79.93970485,2018,129,16
87,F180025384,113,"Cooking fire, confined to container","5200 BLOCK 5TH AVE, PITTSBURGH PA 15232",3/25/18 17:03,1,231EN18,703,Squirrel Hill North,8,14,42003140100,3,14,4,26-Feb,40.44774262,-79.93722233,2018,129,12
88,F180025613,118,"Trash or rubbish fire, contained","100 BLOCK KNOX AVE, PITTSBURGH PA 15210",3/26/18 14:28,1,231EN22,3001,Knoxville,3,30,42003300100,4,30,3,6-Apr,40.41555294,-79.99064494,2018,26,13
89,F180025682,160,"Special outside fire, Other","BUTLER ST & 54TH ST, PITTSBURGH PA 15201",3/26/18 18:10,0,231EN07,1011,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.48285507,-79.95121336,2018,15,5
90,F180025711,151,"Outside rubbish, trash or waste fire","WIESE ST & CLOVER ST, PITTSBURGH PA 15210",3/26/18 20:49,1,231EN22,1603,Arlington,3,16,42003561600,4,16,3,8-Apr,40.41480109,-79.97180923,2018,41,2
91,F180025726,151,"Outside rubbish, trash or waste fire","RIVER AVE & WARFIELD ST, PITTSBURGH PA 15212",3/26/18 22:29,0,231EN32,2205,North Shore,1,23,42003563200,6,23,1,20-Jan,40.45120024,-79.99373808,2018,41,3
92,F170043961,131,Passenger vehicle fire,"SPARTA ST & WALBRIDGE ST, PITTSBURGH PA 15220",6/1/17 16:50,0,231EN30,2020,Elliott,2,20,42003562600,5,20,6,17-Jan,40.438818,-80.03710657,2017,108,5
93,F180026308,111,Building fire,"1500 BLOCK ARLINGTON AVE, PITTSBURGH PA 15210",3/28/18 22:25,1,231EN22,1803,Allentown,3,18,42003180300,4,18,3,6-Apr,40.41918031,-79.98930113,2018,135,9
94,F180026869,111,Building fire,"1600 BLOCK MOUNT JOSEPH ST, PITTSBURGH PA 15210",3/30/18 22:44,2,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.39951605,-79.9920675,2018,135,22
95,F180027123,111,Building fire,"600 BLOCK LAUGHLIN AVE, PITTSBURGH PA 15210",3/31/18 21:18,1,231EN22,2902,Carrick,4,29,42003290200,4,29,3,12-Apr,40.40485076,-79.97971458,2018,135,22
96,F180026722,151,"Outside rubbish, trash or waste fire","2400 BLOCK BURHAM ST, PITTSBURGH PA 15203",3/30/18 10:19,0,231EN22,1608,South Side Slopes,3,16,42003160800,4,16,3,22-Apr,40.42120804,-79.97241558,2018,41,8
97,F180027069,130,"Mobile property (vehicle) fire, Other","MURRAY AVE & FORWARD AVE, PITTSBURGH PA 15217",3/31/18 16:50,0,231EN18,1413,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.42973793,-79.92348532,2018,12,20
98,F180026043,162,Outside equipment fire,"FRIENDSHIP AVE & S ATLANTIC, PITTSBURGH PA 15224",3/28/18 7:25,0,231EN08,806,Bloomfield,7,8,42003080600,2,8,5,23-Mar,40.46199648,-79.93895142,2018,7,10
99,F180027134,151,"Outside rubbish, trash or waste fire","400 BLOCK SUNCREST ST, PITTSBURGH PA 15210",3/31/18 21:50,0,231EN26,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.41118154,-79.99498903,2018,41,13
100,F180028507,154,Dumpster or other outside trash receptacle fire,"S MATHILDA ST & FRIENDSHIP AV, PITTSBURGH PA 15224",4/5/18 9:30,0,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,6-Mar,40.46278684,-79.94682672,2018,20,10
101,F180028468,100,"Fire, Other","1200 BLOCK SARAH ST, PITTSBURGH PA 15203",4/5/18 7:13,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42753442,-79.98622543,2018,11,24
104,F180028030,111,Building fire,"00 BLOCK PPG PL, PITTSBURGH PA 15219",4/4/18 2:32,1,231EN04,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43998425,-80.00291135,2018,135,12
105,F180028337,113,"Cooking fire, confined to container","2100 BLOCK PERRYSVILLE AVE, PITTSBURGH PA 15214",4/4/18 17:12,1,231EN38,2614,Perry South,6,25,42003261400,1,25,1,10-Jan,40.46362898,-80.01223966,2018,129,11
106,F160072248,131,Passenger vehicle fire,"1700 BLOCK BUENA VISTA ST, PITTSBURGH PA 15212",9/10/16 23:14,0,231EN37,2503,Central Northside,6,25,42003250300,1,25,1,21-Jan,40.45873864,-80.01489173,2016,114,16
107,F180028957,113,"Cooking fire, confined to container","7100 BLOCK PENN AVE, PITTSBURGH PA 15221",4/6/18 20:12,1,231EN17,1406,Point Breeze,9,14,42003140600,3,14,4,14-Mar,40.44993485,-79.90375262,2018,129,9
108,F170044045,143,Grass fire,"200 BLOCK COPPERFIELD AVE, PITTSBURGH PA 15210",6/1/17 23:05,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.3955286,-79.98997988,2017,8,30
109,F130088763,111,Building fire,"4600 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15224",12/13/13 8:37,2,231EN06,903,Bloomfield,7,9,42003090300,2,9,5,6-Mar,40.46440656,-79.95042441,2013,167,16
110,F130088845,118,"Trash or rubbish fire, contained","100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",12/13/13 13:52,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508,2013,54,32
111,F170044121,154,Dumpster or other outside trash receptacle fire,"4800 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15224",6/2/17 9:28,0,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,6-Mar,40.46126376,-79.9463628,2017,31,23
112,F130088886,118,"Trash or rubbish fire, contained","3200 BLOCK FARONIA ST, PITTSBURGH PA 15204",12/13/13 16:23,1,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45160189,-80.06635734,2013,54,22
113,F130088904,111,Building fire,"7000 BLOCK KEDRON ST, PITTSBURGH PA 15208",12/13/13 17:31,1,231EN15,1301,Homewood North,9,13,42003130100,2,13,5,18-Mar,40.46174524,-79.89962815,2013,167,21
114,F130088960,151,"Outside rubbish, trash or waste fire","10TH BLOCK ST BRG & 2ND AVE, PITTSBURGH PA 15219",12/13/13 20:31,0,231EN04,103,Bluff,6,1,42003010300,3,1,2,4-Feb,40.4344804,-79.98981938,2013,86,14
115,F170044244,160,"Special outside fire, Other","2700 BLOCK SARAH ST, PITTSBURGH PA 15203",6/2/17 19:47,1,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42615341,-79.96747446,2017,26,34
116,F160073450,131,Passenger vehicle fire,"S FAIRMOUNT ST & ROUP AVE, PITTSBURGH PA 15206",9/15/16 6:58,0,231EN08,807,Friendship,7,8,42003080700,2,8,5,23-Mar,40.45933126,-79.93548941,2016,114,1
117,F160016911,114,"Chimney or flue fire, confined to chimney or flue","3800 BLOCK WILKSBORO AVE, PITTSBURGH PA 15219",3/3/16 21:53,1,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48335395,-80.04681225,2016,4,14
118,F150016908,111,Building fire,"3200 BLOCK STAFFORD ST, PITTSBURGH PA 15204",3/2/15 13:38,1,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45912828,-80.05301127,2015,230,27
119,F150087337,111,Building fire,"1500 BLOCK ROCKLAND AVE, PITTSBURGH PA 15216",11/5/15 12:06,1,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41203023,-80.0203645,2015,230,18
120,F160013115,111,Building fire,"5100 BLOCK ROSETTA ST, PITTSBURGH PA 15206",2/18/16 18:43,1,231EN08,1017,Garfield,9,10,42003101700,2,10,5,4-Mar,40.46792867,-79.94212538,2016,213,9
121,F170044397,131,Passenger vehicle fire,"700 BLOCK EUREKA ST, PITTSBURGH PA 15211",6/3/17 11:06,0,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.42366468,-79.99579579,2017,108,6
122,F130089055,113,"Cooking fire, confined to container","00 BLOCK GASKEL ST, PITTSBURGH PA 15211",12/14/13 9:37,1,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42978374,-80.0095497,2013,240,21
123,F130089127,111,Building fire,"2800 BLOCK BREKER ST, PITTSBURGH PA 15212",12/14/13 14:18,1,231EN35,2715,Marshall-Shadeland,1,27,42003271500,1,27,1,14-Jan,40.47003378,-80.02899769,2013,167,16
124,F130089273,112,Fires in structure other than in a building,"3800 BLOCK BIGELOW BLVD, PITTSBURGH PA 15201",12/14/13 22:08,1,231EN06,506,North Oakland,6,5,42003562000,3,5,4,23-Feb,40.45687624,-79.95511098,2013,25,19
125,F130089653,100,"Fire, Other","400 BLOCK N LEXINGTON ST, PITTSBURGH PA 15208",12/16/13 14:47,1,231EN17,1405,Point Breeze North,9,14,42003140500,2,14,4,14-Mar,40.45108931,-79.89708846,2013,16,8
126,F130089773,131,Passenger vehicle fire,"S 18TH ST & MISSION ST, PITTSBURGH PA 15203",12/17/13 6:07,0,231EN24,1706,South Side Slopes,3,17,42003170600,4,17,3,3-Apr,40.42382675,-79.97769255,2013,119,14
